Main Category,Sub Category,2018 Onward ACS/PRCS,Occupation title
Not Applicable,Not Applicable,0,"Not Applicable (Under 16 years or not in the labor force, who last worked more than 5 years ago--also see occ code 992 or occsoc code 999920)"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Management Occupations:,1110XX,Chief Executives and Legislators
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Management Occupations:,111021,General and Operations Managers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Management Occupations:,112011,Advertising and Promotions Managers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Management Occupations:,112021,Marketing Managers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Management Occupations:,112022,Sales Managers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Management Occupations:,112030,Public Relations and Fundraising Managers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Management Occupations:,113012,Administrative Services Managers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Management Occupations:,113013,Facilities Managers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Management Occupations:,113021,Computer and Information Systems Managers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Management Occupations:,113031,Financial Managers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Management Occupations:,113111,Compensation and Benefits Managers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Management Occupations:,113121,Human Resources Managers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Management Occupations:,113131,Training and Development Managers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Management Occupations:,113051,Industrial Production Managers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Management Occupations:,113061,Purchasing Managers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Management Occupations:,113071,"Transportation, Storage, and Distribution Managers"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Management Occupations:,119013,"Farmers, Ranchers, and Other Agricultural Managers"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Management Occupations:,119021,Constructions Managers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Management Occupations:,119030,Education And Childcare Administrators
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Management Occupations:,119041,Architectural and Engineering Managers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Management Occupations:,119051,Food Service Managers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Management Occupations:,119070,Entertainment And Recreation Managers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Management Occupations:,119081,Lodging Managers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Management Occupations:,119111,Medical and Health Services Managers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Management Occupations:,119121,Natural Science Managers
